"","X","X_id","标题","标题链接","居室数","厅堂数","卫生间数","总面积","朝向","楼层位置","建造年份","小区","区","街道","地址","关键词","价格","单价","关键字1","关键字2","关键字3","关键字4","装修","字段12","详情1","详情2","详情3","详情4","详情5","产权性质","物业类型","产权年限","房本年限","参考预算","小区均价","小区户数","物业费用","绿化率","小区解读1","小区解读2","小区解读3","小区解读4","小区解读5","小区解读6","代理情况","代理情况2","安选"
"65","64","666d215bdacf8deaac1412a8","带产证看房！来电谈20万！赠送车位2个！A类住宅！可贷8成！","https://shanghai.anjuke.com/prop/view/S3560642851560459",2,2,1,"50㎡","南北","中层(共6层)","2015年建造","虹中路2弄小区","闵行","虹桥","虹中路2弄","南北;满五年;近地铁;车位充足",136,"27200元/㎡","南北","满五年","近地铁","车位充足","精装修","2015年竣工/普通住宅
            ","满五年","唯一住房","近地铁","车位充足","","商品房住宅","普通住宅","70年产权","满五年","首付27万，月供4886元","28445元/㎡","50户","0.4 元/平米/月","30.00%","轨道交通   小区西面1.5公里是10号线龙柏新村站，小区南面1公里是九号线漕河泾开发区站，小区对面是公交车站台","小区户型   热门户型为40-80方的两居室户型，楼距90米。","居民素质   业主自住较多，租客相对较少，整体素质较高，邻里关系和谐","小区不足   小区不足，小区车位相对较少，业主私家车很多，车位万高峰管理混乱，有待改善","","","","全部经纪人","实地核验"
"66","65","666d215bdacf8deaac1412a9","朝南 装修好 电梯房 楼龄新 满五   大两居 居家自住","https://shanghai.anjuke.com/prop/view/S3521043457432582",2,2,1,"86㎡","南","低层(共21层)","2015年建造","长泰公馆","浦东","航头","航定路568弄","南;满五年;近地铁;绿化率高",275,"31977元/㎡","南","满五年","近地铁","绿化率高","精装修","2015年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","绿化率高","商品房住宅","普通住宅","70年产权","满五年","首付55万，月供9879元","35935元/㎡","1208户","2.0 元/平米/月","55.00%","轨道交通   距航头东16号线地铁站4公里小区门口有公交站台","小区户型   社区两梯四户居多，主力户型为86平米两房-108平米的三房，大部分是南北对流通风户型，社区内没有一房","其他描述   开发商自持物业，长宜物业，物业费：高层2.9元，别墅3.2元","小区设施   小区进门是自带900平的绿化广场，可供居民休闲散步，还有健身房和游泳馆","生活配套   小区门口有本地阿姨种植的无害蔬菜东面800米到航头老街，有大型菜市场，能满足日常生活购物所需","小区不足   小区自住率高业主车辆多停车位紧张小区车位不足小区车位比1:0.75","2家门店、7位经纪人正代理本房","全部经纪人","实地核验"
"67","66","666d215bdacf8deaac1412ab","宜浩佳园 高楼层视野无遮挡 精装可拎包入住 产权清晰 大两居","https://shanghai.anjuke.com/prop/view/S3500853203952654",2,2,1,"88.11㎡","南北","共4层","2013年建造","宜浩佳园","浦东","临港新城","竹柏路100弄,竹柏路366弄,竹柏路111弄,竹柏路333弄","南北;房东直卖;满五年;多人关注",165,"18727元/㎡","南北","房东直卖","满五年","多人关注","精装修","2013年竣工/普通住宅
            ","满五年","","","","","商品房住宅","普通住宅","暂无","满五年","首付33万，月供5927元","22156元/㎡","5592户","0.99 元/平米/月","35.60%","轨道交通   小区门口就有公交车1路1009路等直达16号线滴水湖地铁3个站，距离800米左右高速路入口","小区户型   户型都方正，南北通透，绝大部分是一梯两户，有一房一厅  两房两厅  两房朝南的步梯户型  少量电梯房","小区设施   小区内有花园 河流 车位 车库数量足够停放  休闲的凉亭和运动器材，跑道 网球场 篮球场 羽毛球场","房屋品质   房子于2013年开盘 ，中式装修400标准 700标准 100标准的，带太阳能热水器， 品质一般","小区不足   房子相对老旧，渗水问题一直存在，绿化稍微多，夏天蚊虫稍多","","1家门店、11位经纪人正代理本房","全部经纪人","实地核验"
"68","67","666d215cdacf8deaac1412ac","陆家嘴滨江 江景公寓带燃气精装修全配带产权车位 高区拎包入住","https://shanghai.anjuke.com/prop/view/S3572243046915080",3,2,2,"104㎡","南北","中层(共15层)","2019年建造","凯旋汇","浦东","八佰伴","张杨路98号","南北;满五年;近地铁;车位充足",345,"33174元/㎡","南北","满五年","近地铁","车位充足","精装修","2019年竣工/公寓
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商住两用","公寓","50年产权","满五年","首付172万，月供17058元","91494元/㎡","234户","暂无","35.00%","轨道交通   小区出门步行800米有地铁9号线和2号线","小区户型   小区67㎡一房，和107-127㎡两房，高层总高26楼，单栋，前后楼间距大","其他描述   小区物业是启胜物业，物业费28元，包含3张会所会员卡，有大堂礼宾和管家，服务周到","小区设施   小区内有6000平方会所，设施完善，有儿童娱乐设施，健身器材，图书馆等","生活配套   小区出门步行0.5km到达老佛爷购物商场、盒马鲜生，2公里到达仁济医院东院","小区不足   小区车位紧张，有时无法满足多台车的需求","","全部经纪人","实地核验"
"69","68","666d215cdacf8deaac1412ad","鹤沙航城，地铁16号线800米，首付30万，靠商场，品质小区","https://shanghai.anjuke.com/prop/view/S3532512199203843",1,1,1,"54.15㎡","南","低层(共18层)","2014年建造","鹤沙航城汇贤雅苑","浦东","航头","鹤永路751弄1-20号","南;满五年;近地铁;多人关注",146,"26963元/㎡","南","满五年","近地铁","多人关注","精装修","2014年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","","商品房住宅","普通住宅","70年产权","满五年","首付29万，月供5245元","32776元/㎡","1440户","1.2 元/平米/月","30.00%","轨道交通   小区门口就是公交车站，1101路；1109路可直达鹤沙航城地铁站","小区户型   小区总高18层，2梯4户 一房54平，两房72平边套双阳台、72平中间套双南、74平边套三阳台","生活配套   小区门口100米，有鹤波超市，一楼是菜场，和水果店，早餐店，二楼是超市","房屋品质   农工商开发，农工商旺都物业管理，小区外墙全部3层，隔音、保卫、防水好","小区不足   小区有个变电站，位置在7号楼和9号的位置且地下车位停放较少，地面车位不是很充足","","1家门店、4位经纪人正代理本房","全部经纪人","实地核验"
"70","69","666d215cdacf8deaac1412ae","临港滴水湖在售红盘，此号是售楼处授权，接送看房，欢迎咨询","https://shanghai.anjuke.com/prop/view/S3049338313777153",4,2,2,"129㎡","南","","","中铁诺德·璟宸","浦东","南汇周边","荷萃路518弄、568弄","主卧套房;厨卫全明;南北通透;车位充足",398,"30853元/㎡","主卧套房","厨卫全明","南北通透","车位充足","精装修","暂无建造年代/普通住宅
            ","主卧套房","厨卫全明","南北通透","玄关入户","大户型","暂无","普通住宅","70年产权","","首付79万，月供14298元","30000元/㎡","暂无","暂无","35.00%","","","","","","","查看全部经纪人","全部经纪人","认证新房"
"71","70","666d215ddacf8deaac1412af","近地铁 满五   交通便捷 商品房 车位充足 购物方便","https://shanghai.anjuke.com/prop/view/S3049642624506890",2,2,1,"21㎡","南北","中层(共12层)","2017年建造","虹中路2弄小区","闵行","虹桥","虹中路2弄","南北;满五年;近地铁;车位充足",56,"26667元/㎡","南北","满五年","近地铁","车位充足","精装修","2017年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商品房住宅","普通住宅","70年产权","满五年","首付11万，月供2012元","28445元/㎡","50户","0.4 元/平米/月","30.00%","轨道交通   小区西面1.5公里是10号线龙柏新村站，小区南面1公里是九号线漕河泾开发区站，小区对面是公交车站台","小区户型   热门户型为40-80方的两居室户型，楼距90米。","居民素质   业主自住较多，租客相对较少，整体素质较高，邻里关系和谐","小区不足   小区不足，小区车位相对较少，业主私家车很多，车位万高峰管理混乱，有待改善","","","2家门店、5位经纪人正代理本房","全部经纪人","实地核验"
"72","71","666d215edacf8deaac1412b0","金纬苑 低容积 南北正两房 近地铁 房东诚信急售","https://shanghai.anjuke.com/prop/view/S3495570165522444",2,2,1,"83.21㎡","南北","低层(共6层)","2003年建造","金纬苑","浦东","外高桥","春晖路25弄1-23号","南北;满五年;近地铁",360,"43265元/㎡","南北","满五年","近地铁","","精装修","2003年竣工/普通住宅
            ","满五年","唯一住房","近地铁","","","商品房住宅","普通住宅","70年产权","满五年","首付72万，月供12932元","43629元/㎡","256户","0.55 元/平米/月","20.00%","小区户型   主力大户型83-201平。共22栋主力大户型83-210平","其他描述   物业费是0.8元。小区物业是高桥物业","小区设施   小区中央有篮球场。小区的车位充足","生活配套   距小区400米大型的教育机构。小区出门300米大型世纪联华购物中心","小区不足   小区绿化用地不多。还需要在改善一下。小区的房子有些偏老.","","","全部经纪人","实地核验"
"73","72","666d215edacf8deaac1412b1","滴水湖馨苑，紧邻商圈，户型方正，南北通透，送花园，房东急售","https://shanghai.anjuke.com/prop/view/S3565415247094785",3,2,1,"96.64㎡","南北","共5层","2013年建造","滴水湖馨苑(公寓住宅)","浦东","临港新城","方竹路88弄,方竹路222弄,方竹路333弄","南北;满五年",328,"33941元/㎡","南北","满五年","","","毛坯","2013年竣工/普通住宅
            ","满五年","","","","","商品房住宅","普通住宅","70年产权","满五年","首付65万，月供11783元","30373元/㎡","3307户","1.75 元/平米/月","30.00%","轨道交通   地铁16号线相距2公里，直通龙阳路地铁转乘多个地铁线其他公交基本全面覆盖临港新城","小区户型   大户型面积在140个平方到225个平方户型方正户型以小户型为主58-63一房","其他描述   小区门口就是公交站，3路，1096路，直接到滴水湖地铁站，出行非常方便","小区设施   小区绿化茂密 设施齐全 儿童乐园健身器材 健康跑道面面俱到","房屋品质   有港城集团开发房屋质量过硬房屋质量过硬防潮保温","小区不足   小区二期有部分渗水情况，物业管理需要加强，目前租客比较多","3家门店、6位经纪人正代理本房","全部经纪人","实地核验"
"74","73","666d215edacf8deaac1412b2","陆家嘴滨江 江景公寓带燃气精装修全配带产权车位 高区拎包入住","https://shanghai.anjuke.com/prop/view/S3545198577245184",2,2,1,"80㎡","南","中层(共20层)","2019年建造","凯旋汇","浦东","八佰伴","张杨路98号","南;满五年;近地铁;车位充足",260,"32500元/㎡","南","满五年","近地铁","车位充足","精装修","2019年竣工/公寓
            ","满五年","有电梯","近地铁","车位充足","","商住两用","公寓","50年产权","满五年","首付130万，月供12855元","91494元/㎡","234户","暂无","35.00%","轨道交通   小区出门步行800米有地铁9号线和2号线","小区户型   小区67㎡一房，和107-127㎡两房，高层总高26楼，单栋，前后楼间距大","其他描述   小区物业是启胜物业，物业费28元，包含3张会所会员卡，有大堂礼宾和管家，服务周到","小区设施   小区内有6000平方会所，设施完善，有儿童娱乐设施，健身器材，图书馆等","生活配套   小区出门步行0.5km到达老佛爷购物商场、盒马鲜生，2公里到达仁济医院东院","小区不足   小区车位紧张，有时无法满足多台车的需求","4家门店、4位经纪人正代理本房","全部经纪人","实地核验"
"75","74","666d215fdacf8deaac1412b3","上海公积金可用，来电可谈价！送车位！南北通透，精装，拎包即住","https://shanghai.anjuke.com/prop/view/S3459888589956098",2,2,1,"21㎡","南北","高层(共6层)","2016年建造","虹中路2弄小区","闵行","虹桥","虹中路2弄","南北;满五年;近地铁;车位充足",59,"28096元/㎡","南北","满五年","近地铁","车位充足","精装修","2016年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商品房住宅","普通住宅","70年产权","满五年","首付11万，月供2119元","28445元/㎡","50户","0.4 元/平米/月","30.00%","轨道交通   小区西面1.5公里是10号线龙柏新村站，小区南面1公里是九号线漕河泾开发区站，小区对面是公交车站台","小区户型   热门户型为40-80方的两居室户型，楼距90米。","居民素质   业主自住较多，租客相对较少，整体素质较高，邻里关系和谐","小区不足   小区不足，小区车位相对较少，业主私家车很多，车位万高峰管理混乱，有待改善","","","1家门店、8位经纪人正代理本房","全部经纪人","实地核验"
"76","75","666d215fdacf8deaac1412b4","实拍有钥匙~急售两房~价格惊喜不是一楼","https://shanghai.anjuke.com/prop/view/S3542253228039173",2,2,1,"84.84㎡","南北","低层(共11层)","2010年建造","和祥佳园","浦东","外高桥","草高支路766弄1-32号","南北;有电梯;近地铁",285,"33593元/㎡","南北","有电梯","近地铁","","毛坯","2010年竣工/普通住宅
            ","有电梯","近地铁","","","","商品房住宅","普通住宅","暂无","","首付57万，月供10238元","40241元/㎡","698户","1.75 元/平米/月","30.00%","轨道交通   公交总站距离300米小区出门向西400米是高桥公交总站小区出门向西500米是地铁6号线港城路站","小区户型   一房56.58平方中间户型，两房84.84平方双南户型和南北户型86.87.90.26平南北，32栋","生活配套   小区500米上海市浦东新区外高桥镇卫生院","房屋品质   小区2014年竣工，2015年交房
房子带电梯，外立面重新刷过，显得比较新
隔音防水都做过","小区不足   出租率高小区租户多位置偏车位也有些略显紧张","","7家门店、13位经纪人正代理本房","全部经纪人","实地核验"
"77","76","666d215fdacf8deaac1412b5","地区  榜  ，周边无竞品，产权清晰，签字没问题！","https://shanghai.anjuke.com/prop/view/S3356895941008394",2,2,1,"92.21㎡","南","中层(共6层)","2003年建造","明纶园","浦东","御桥","康杉路608弄","南;满五年",395,"42838元/㎡","南","满五年","","","简单装修","2003年竣工/普通住宅
            ","满五年","唯一住房","","","","商品房住宅","普通住宅","暂无","满五年","首付79万，月供14190元","44735元/㎡","300户","1.6 元/平米/月","40.00%","轨道交通   距11号线，18号线（再建）御桥站2公里以内，出门就是沪南公路主干道，到 S20外环高速200米","小区户型   2003年商品房，总高四楼，总高5楼，总高6楼，面积60平方一房，87平 92平方两房103三房。","生活配套   万科活力城800米左右。。小区出门500米就是一个大型菜市场","居民素质   小区常驻人口都是白领，素质是很高的，年龄大都为25-40岁。","小区不足   小区房龄老，且小区内都是多层。  车位紧张","","3家门店、4位经纪人正代理本房","全部经纪人","实地核验"
"78","77","666d215fdacf8deaac1412b6","急，新上好房，馨苑大四房，带花园，送地下室，满五税少，随时看","https://shanghai.anjuke.com/prop/view/S3573598719138819",4,2,2,"122.7㎡","南北","共5层","2012年建造","滴水湖馨苑(公寓住宅)","浦东","临港新城","方竹路88弄,方竹路222弄,方竹路333弄","南北;满五年",475,"38713元/㎡","南北","满五年","","","精装修","2012年竣工/普通住宅
            ","满五年","唯一住房","","","","商品房住宅","普通住宅","70年产权","满五年","首付95万，月供17064元","30373元/㎡","3307户","1.75 元/平米/月","30.00%","轨道交通   地铁16号线相距2公里，直通龙阳路地铁转乘多个地铁线其他公交基本全面覆盖临港新城","小区户型   大户型面积在140个平方到225个平方户型方正户型以小户型为主58-63一房","其他描述   小区门口就是公交站，3路，1096路，直接到滴水湖地铁站，出行非常方便","小区设施   小区绿化茂密 设施齐全 儿童乐园健身器材 健康跑道面面俱到","房屋品质   有港城集团开发房屋质量过硬房屋质量过硬防潮保温","小区不足   小区二期有部分渗水情况，物业管理需要加强，目前租客比较多","8家门店、13位经纪人正代理本房","全部经纪人","实地核验"
"79","78","666d2160dacf8deaac1412b7","陆家嘴滨江品质公寓！送产权车位整栋纯居住，中央空调带地暖","https://shanghai.anjuke.com/prop/view/S3577828177140751",3,2,2,"123.16㎡","南","低层(共20层)","2016年建造","凯旋汇","浦东","八佰伴","张杨路98号","南;有电梯;近地铁;车位充足",420,"34102元/㎡","南","有电梯","近地铁","车位充足","精装修","2016年竣工/公寓
            ","有电梯","近地铁","车位充足","","","商住两用","公寓","暂无","","首付210万，月供20766元","91494元/㎡","234户","暂无","35.00%","轨道交通   小区出门步行800米有地铁9号线和2号线","小区户型   小区67㎡一房，和107-127㎡两房，高层总高26楼，单栋，前后楼间距大","其他描述   小区物业是启胜物业，物业费28元，包含3张会所会员卡，有大堂礼宾和管家，服务周到","小区设施   小区内有6000平方会所，设施完善，有儿童娱乐设施，健身器材，图书馆等","生活配套   小区出门步行0.5km到达老佛爷购物商场、盒马鲜生，2公里到达仁济医院东院","小区不足   小区车位紧张，有时无法满足多台车的需求","2家门店、4位经纪人正代理本房","全部经纪人","实地核验"
"80","79","666d2160dacf8deaac1412b8","不靠高压 满五年就一套  精装修 带产权车位  随时看房","https://shanghai.anjuke.com/prop/view/S3100349195836427",2,2,1,"90.16㎡","南北","高层(共18层)","2010年建造","锦绣华都","浦东","御桥","御衡路68弄","热门小区;南北通透;满五",578,"64109元/㎡","热门小区","南北通透","满五","","精装修","2010年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","户型方正","商品房住宅","普通住宅","70年产权","满五年","首付115万，月供20764元","64383元/㎡","1584户","1.75 元/平米/月","44.80%","轨道交通   御桥地铁站11号路线，518、779、1051、北蔡一路等等路线都经过，公交车站就在小区楼下出行方便","小区户型   前面两排是总rn高14层的2+1户型两房90的户型有南北通和双南户型","其他描述   物业费1.75小区物业还是比较完善的","生活配套   小区西面步行1000米左右有万科2049商业，小区门口500有大型菜市场，小区楼下有一部分底商","房屋品质   小区是2010年由上海越州置业有限公司建成，毛坯分批交付，属于次新小区，","小区不足   车位比较紧张地铁交通目前比较远一些所以出租房源租客较多、","2家门店、2位经纪人正代理本房","全部经纪人","实地核验"
"81","80","666d2160dacf8deaac1412b9","佳园  房源，楼层好，对明珠，业主置换急售，看房随时有钥匙","https://shanghai.anjuke.com/prop/view/S3543621263843332",2,2,1,"82.51㎡","南北","共4层","2009年建造","宜浩佳园","浦东","临港新城","竹柏路100弄,竹柏路366弄,竹柏路111弄,竹柏路333弄","南北;满五年;采光较好",190,"23028元/㎡","南北","满五年","采光较好","","精装修","2009年竣工/普通住宅
            ","满五年","采光较好","直对通风","动线良好","","商品房住宅","普通住宅","70年产权","满五年","首付38万，月供6825元","22156元/㎡","5592户","0.99 元/平米/月","35.60%","轨道交通   小区门口就有公交车1路1009路等直达16号线滴水湖地铁3个站，距离800米左右高速路入口","小区户型   户型都方正，南北通透，绝大部分是一梯两户，有一房一厅  两房两厅  两房朝南的步梯户型  少量电梯房","小区设施   小区内有花园 河流 车位 车库数量足够停放  休闲的凉亭和运动器材，跑道 网球场 篮球场 羽毛球场","房屋品质   房子于2013年开盘 ，中式装修400标准 700标准 100标准的，带太阳能热水器， 品质一般","小区不足   房子相对老旧，渗水问题一直存在，绿化稍微多，夏天蚊虫稍多","","3家门店、9位经纪人正代理本房","全部经纪人","实地核验"
"82","81","666d2161dacf8deaac1412ba","两房朝南，一梯四户，交通便利，刚需好房，简约风格","https://shanghai.anjuke.com/prop/view/S3516381324632069",2,2,1,"81.5㎡","南","中层(共11层)","2004年建造","海洲桃花园","浦东","航头","航头路988弄","南;热门小区;近地铁;房东急售",249,"30553元/㎡","南","热门小区","近地铁","房东急售","简单装修","2004年竣工/普通住宅
            ","近地铁","","","","","商品房住宅","普通住宅","暂无","","首付49万，月供8945元","37967元/㎡","2392户","1.2 元/平米/月","40.00%","轨道交通   门口就有1067路公交，航头五路，航三路等，小区西边150米就是18号线地铁口（2020年底开通）","小区户型   小区主要是77平，81平，88平，110平，123平等主力户型，以两房为主，适合刚需需求","小区设施   小区里有 游泳池 小朋友玩耍的沙滩 以及老年锻炼身体的区域","生活配套   小区300米是苏杭生活广场内有生鲜超市，肯德基必胜客和家居用品\r\n隔壁是农工商大卖场，咸塘小镇步行街等","房屋品质   同一个开发区小区2011年左右交房二期是商品房","小区不足   一期动迁小区年代较久，且里面租客居多，车位配比少，造成交通不便","4家门店、6位经纪人正代理本房","全部经纪人","实地核验"
"83","82","666d2161dacf8deaac1412bb","永泰花苑 环境优美 交通便捷 满五   临地铁 正规商品房","https://shanghai.anjuke.com/prop/view/S3476844542418951",2,1,1,"73.63㎡","南","中层(共11层)","2006年建造","永泰花苑","浦东","三林","永泰路630弄","南;满五年;近地铁;绿化率高",449,"60981元/㎡","南","满五年","近地铁","绿化率高","精装修","2006年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","绿化率高","商品房住宅","普通住宅","暂无","满五年","首付89万，月供16130元","61055元/㎡","3377户","1.1 元/平米/月","46.00%","轨道交通   小区门口就是公交车站，小区向北900米事11号线三林东站，可以转地铁6号，8号线","其他描述   小区到地铁11号线三林站200米门口有755路780路572路","小区设施   小区有花园，凉亭，花园900平左右，花园里设有运动器械，可供老人小孩玩耍","生活配套   出门三百米就是金谊广场，800米东方医院","房屋品质   由中房置业有限公司建造，05年统一交房，近马路一排装有双层玻璃，能有效的隔绝噪音","小区不足   动迁小区，租客较多，物业一般","11家门店、26位经纪人正代理本房","全部经纪人","实地核验"
"84","83","666d2162dacf8deaac1412bc","新政落地）外地単笙必看！  2成月供1800，精装拎包入住","https://shanghai.anjuke.com/prop/view/S3365407449900032",2,1,1,"16.5㎡","南北","高层(共8层)","2016年建造","虹中路2弄小区","闵行","虹桥","虹中路2弄","南北;满五年;近地铁;车位充足",50,"30304元/㎡","南北","满五年","近地铁","车位充足","精装修","2016年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商品房住宅","普通住宅","70年产权","满五年","首付10万，月供1796元","28445元/㎡","50户","0.4 元/平米/月","30.00%","轨道交通   小区西面1.5公里是10号线龙柏新村站，小区南面1公里是九号线漕河泾开发区站，小区对面是公交车站台","小区户型   热门户型为40-80方的两居室户型，楼距90米。","居民素质   业主自住较多，租客相对较少，整体素质较高，邻里关系和谐","小区不足   小区不足，小区车位相对较少，业主私家车很多，车位万高峰管理混乱，有待改善","","","1家门店、5位经纪人正代理本房","全部经纪人","实地核验"
"85","84","666d2162dacf8deaac1412bd","临万达，永康城浦欣苑 ，文馨  0距离，交通便利， 预约看房","https://shanghai.anjuke.com/prop/view/S3564987046665220",3,1,1,"96㎡","南","中层(共18层)","2015年建造","永康城浦欣苑","闵行","浦江","永高路75弄","南;热门小区",247,"25730元/㎡","南","热门小区","","","精装修","2015年竣工/普通住宅
            ","有电梯","","","","","商品房住宅","普通住宅","暂无","","首付49万，月供8873元","29213元/㎡","1125户","1.32 元/平米/月","35.00%","轨道交通   小区门口就有公交站，旁边100米还有13路公交总站，离地铁站约2公里。","小区户型   小区共有27个楼栋号，都为两梯三户结构，主力面积为56平的一房，77-80平的两房，96平的三房。","小区设施   小区中心有300平的绿地，绿地周边有儿童滑滑梯等娱乐设施，很多小朋友放学后都会在此玩耍","生活配套   小区距永颂菜市场50米，距永杰路菜市场500米，距万达约1000米","居民素质   小区租住比20%左右，租户少，业主大多数是以前一个街坊的，闲暇时间会在一起聊天，邻里和睦，氛围融洽！","小区不足   小区相对其他几个小区，稍微离地铁站远一点，所以感觉会相对偏一点","2家门店、7位经纪人正代理本房","全部经纪人","实地核验"
"86","85","666d2162dacf8deaac1412be","  了。航头精装修大三房，景观楼层视野开阔。业主诚心出售","https://shanghai.anjuke.com/prop/view/S3239311396658178",3,2,2,"121.14㎡","南北","中层(共6层)","2006年建造","长达佳苑(公寓住宅)","浦东","航头","航梅路525弄1支弄,航梅路525弄2支弄,航梅路525弄4支弄,航梅路525弄5支弄,航梅路525弄6支弄","南北;热门小区;近地铁;随时可看",305,"25178元/㎡","南北","热门小区","近地铁","随时可看","精装修","2006年竣工/普通住宅
            ","满五年","唯一住房","","","","商品房住宅","普通住宅","70年产权","满五年","首付61万，月供10957元","28649元/㎡","1978户","0.75 元/平米/月","43.00%","轨道交通   小区门口100米就是公交站台，183路直达8号线沈杜公路站和18号线航头站，交通非常方便","小区户型   小区均为多层房，1-2支弄动迁房，3支弄动迁联排别墅，4支弄商品房别墅部分商品住宅，5-6商品房住宅","小区设施   进小区就有大花园，和休息区，还有老年文化广场和老年活动室，健身器材小区都有","生活配套   小区自带中型超市，门口50米菜市场，药店，饭店，生活设施基本应有尽有","小区不足   长达佳苑04年小区对比周边小区较老，小区动迁房价格便宜租客较多","","2家门店、7位经纪人正代理本房","全部经纪人","实地核验"
"87","86","666d2162dacf8deaac1412bf","陆家嘴商圈|直观上海中心|整栋居住|双轨交地铁口|近民用水电","https://shanghai.anjuke.com/prop/view/S3584870067264520",3,2,2,"102.2㎡","南北","中层(共28层)","2015年建造","良友大厦","浦东","八佰伴","商城路618号","南北;满五年;近地铁",520,"50881元/㎡","南北","满五年","近地铁","","精装修","2015年竣工/公寓
            ","满五年","有电梯","近地铁","","","商住两用","公寓","50年产权","满五年","首付260万，月供25710元","57291元/㎡","560户","暂无","30.00%","小区户型   面积是43平到100平，基本都是小户型","生活配套   小区门口步行20米就是八佰伴，新大陆生活广场","小区不足   物业费每个月要26块钱每平米，但是包含全部水电和电费，","","","","","全部经纪人","实地核验"
"88","87","666d2162dacf8deaac1412c0","万科金色雅筑 商圈成熟 出行方便 近地铁 正南朝向 产权清晰","https://shanghai.anjuke.com/prop/view/S3048220412911618",3,2,1,"97.97㎡","南","共5层","2007年建造","万科金色雅筑","浦东","三林","三林路1300弄1-63号","南;近地铁;人气热搜",768,"78392元/㎡","南","近地铁","人气热搜","","简单装修","2007年竣工/普通住宅
            ","近地铁","","","","","商品房住宅","普通住宅","暂无","","首付153万，月供27589元","84833元/㎡","888户","2.8 元/平米/月","35.00%","小区户型   小区热门户型是89平三房，为主力户型，还有97平、77平、93平的洋房，137平的大电梯大户型三房","其他描述   小区是所属万科物业，管理非常到位，物业费是三块二毛五","小区设施   小区内部有花园，凉亭，运动设施，网球场，篮球场，车位配比1:2.","生活配套   小区北门400米左右中房晶华公馆商场，600米中房金谊广场，伴有三林公园，休闲放松好去处，配套齐全","房屋品质   万科建造的商品房，小区在2008年建成，采用先进的PC外墙面，防水双层隔音玻璃，效果也有得到认可！","小区不足   万科物业，费用较高","8家门店、18位经纪人正代理本房","全部经纪人","实地核验"
"89","88","666d2163dacf8deaac1412c1","小区新 装修好 密度低 南北通透 有电梯 商品房 房东置换","https://shanghai.anjuke.com/prop/view/S3049654425920515",2,2,1,"21㎡","南北","中层(共10层)","2018年建造","虹中路2弄小区","闵行","虹桥","虹中路2弄","南北;满五年;近地铁;车位充足",56,"26667元/㎡","南北","满五年","近地铁","车位充足","精装修","2018年竣工/普通住宅
            ","满五年","唯一住房","有电梯","近地铁","车位充足","商品房住宅","普通住宅","70年产权","满五年","首付11万，月供2012元","28445元/㎡","50户","0.4 元/平米/月","30.00%","轨道交通   小区西面1.5公里是10号线龙柏新村站，小区南面1公里是九号线漕河泾开发区站，小区对面是公交车站台","小区户型   热门户型为40-80方的两居室户型，楼距90米。","居民素质   业主自住较多，租客相对较少，整体素质较高，邻里关系和谐","小区不足   小区不足，小区车位相对较少，业主私家车很多，车位万高峰管理混乱，有待改善","","","1家门店、4位经纪人正代理本房","全部经纪人","实地核验"
"90","89","666d2163dacf8deaac1412c2","滴水湖馨苑电梯大平层，户型方正，位置好，出入方便，房东急售","https://shanghai.anjuke.com/prop/view/S3481432419326976",3,2,2,"145.07㎡","南北","中层(共11层)","2013年建造","滴水湖馨苑(公寓住宅)","浦东","临港新城","方竹路88弄,方竹路222弄,方竹路333弄","南北;满五年",420,"28952元/㎡","南北","满五年","","","简单装修","2013年竣工/普通住宅
            ","满五年","有电梯","","","","商品房住宅","普通住宅","70年产权","满五年","首付84万，月供15088元","30373元/㎡","3307户","1.75 元/平米/月","30.00%","轨道交通   地铁16号线相距2公里，直通龙阳路地铁转乘多个地铁线其他公交基本全面覆盖临港新城","小区户型   大户型面积在140个平方到225个平方户型方正户型以小户型为主58-63一房","其他描述   小区门口就是公交站，3路，1096路，直接到滴水湖地铁站，出行非常方便","小区设施   小区绿化茂密 设施齐全 儿童乐园健身器材 健康跑道面面俱到","房屋品质   有港城集团开发房屋质量过硬房屋质量过硬防潮保温","小区不足   小区二期有部分渗水情况，物业管理需要加强，目前租客比较多","9家门店、16位经纪人正代理本房","全部经纪人","实地核验"
